Country,Score,Region,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
Finland,7.769,Europe,1.34,1.587,0.986,0.596,0.153,0.393
Denmark,7.6,Europe,1.383,1.5730000000000002,0.996,0.5920000000000001,0.252,0.41
Norway,7.5539999999999985,Europe,1.4880000000000002,1.582,1.028,0.603,0.271,0.341
Iceland,7.494,Europe,1.38,1.624,1.026,0.591,0.354,0.118
Netherlands,7.487999999999999,Europe,1.396,1.5219999999999998,0.999,0.557,0.322,0.298
Switzerland,7.48,Europe,1.452,1.526,1.052,0.5720000000000001,0.263,0.343
Sweden,7.343,Europe,1.3869999999999998,1.487,1.009,0.574,0.267,0.373
New Zealand,7.307,Asia & Pacific,1.3030000000000002,1.557,1.026,0.585,0.33,0.38
Canada,7.278,North America,1.365,1.505,1.039,0.584,0.285,0.308
Austria,7.246,Europe,1.376,1.475,1.016,0.532,0.244,0.226
Australia,7.228,Asia & Pacific,1.372,1.548,1.036,0.557,0.332,0.29
Costa Rica,7.167000000000002,South/Latin America,1.034,1.4409999999999998,0.963,0.5579999999999999,0.14400000000000002,0.093
Israel,7.1389999999999985,Europe,1.276,1.455,1.029,0.371,0.261,0.08199999999999999
Luxembourg,7.09,Europe,1.609,1.479,1.012,0.526,0.194,0.316
United Kingdom,7.0539999999999985,Europe,1.3330000000000002,1.538,0.996,0.45,0.348,0.278
Ireland,7.021,Europe,1.499,1.5530000000000002,0.999,0.516,0.298,0.31
Germany,6.985,Europe,1.3730000000000002,1.454,0.987,0.495,0.261,0.265
Belgium,6.922999999999999,Europe,1.356,1.504,0.986,0.473,0.16,0.21
United States,6.892,North America,1.433,1.457,0.8740000000000001,0.454,0.28,0.128
Czech Republic,6.852,Europe,1.269,1.487,0.92,0.457,0.046,0.036000000000000004
United Arab Emirates,6.825,Middle east,1.503,1.31,0.825,0.598,0.262,0.182
Malta,6.726,Europe,1.3,1.52,0.999,0.564,0.375,0.151
Mexico,6.595,South/Latin America,1.07,1.3230000000000002,0.861,0.433,0.07400000000000001,0.073
France,6.5920000000000005,Europe,1.324,1.472,1.045,0.436,0.111,0.183
Taiwan,6.4460000000000015,Asia & Pacific,1.368,1.43,0.914,0.35100000000000003,0.242,0.097
Chile,6.444,South/Latin America,1.159,1.369,0.92,0.35700000000000004,0.187,0.056
Guatemala,6.436,South/Latin America,0.8,1.269,0.746,0.535,0.175,0.078
Saudi Arabia,6.375,Middle east,1.403,1.357,0.795,0.439,0.08,0.132
Qatar,6.374,Middle east,1.6840000000000002,1.3130000000000002,0.871,0.555,0.22,0.16699999999999998
Spain,6.354,Europe,1.286,1.484,1.062,0.362,0.153,0.079
Panama,6.3210000000000015,South/Latin America,1.149,1.442,0.91,0.516,0.109,0.054000000000000006
Brazil,6.3,South/Latin America,1.004,1.439,0.802,0.39,0.099,0.086
Uruguay,6.292999999999998,South/Latin America,1.124,1.465,0.8909999999999999,0.523,0.127,0.15
