Midterm Score,"How much did you rely on the following studying methods to prepare for this exam? 1 indicates ""Not at all"" and 5 indicates ""Very heavily."" [Reviewing slides]","How much did you rely on the following studying methods to prepare for this exam? 1 indicates ""Not at all"" and 5 indicates ""Very heavily."" [Attending lecture]","How much did you rely on the following studying methods to prepare for this exam? 1 indicates ""Not at all"" and 5 indicates ""Very heavily."" [Taking lecture notes]","How much did you rely on the following studying methods to prepare for this exam? 1 indicates ""Not at all"" and 5 indicates ""Very heavily."" [Reviewing lecture notes]","How much did you rely on the following studying methods to prepare for this exam? 1 indicates ""Not at all"" and 5 indicates ""Very heavily."" [Completing assigned readings]","How much did you rely on the following studying methods to prepare for this exam? 1 indicates ""Not at all"" and 5 indicates ""Very heavily."" [Attending a study group]","How much did you rely on the following studying methods to prepare for this exam? 1 indicates ""Not at all"" and 5 indicates ""Very heavily."" [Talking with a professor / TA]","How much did you rely on the following studying methods to prepare for this exam? 1 indicates ""Not at all"" and 5 indicates ""Very heavily."" [Reviewing homeworks]","How much did you rely on the following studying methods to prepare for this exam? 1 indicates ""Not at all"" and 5 indicates ""Very heavily."" [Reviewing labs]","Who did you study with? (1 indicates ""Not at all"" and 5 indicates ""Very heavily."") [One other student from class]","How much did you rely on the following studying methods to prepare for this exam? 1 indicates ""Not at all"" and 5 indicates ""Very heavily."" [Reviewing past quizzes]","How much did you rely on the following studying methods to prepare for this exam? 1 indicates ""Not at all"" and 5 indicates ""Very heavily."" [Completing worksheet problems]","Who did you study with? (1 indicates ""Not at all"" and 5 indicates ""Very heavily."") [Study group with other students/friends]","Who did you study with? (1 indicates ""Not at all"" and 5 indicates ""Very heavily."") [Alone]","How many hours in total did you study for this exam? (Answer using numerals, e.g. ""5"" and not ""five"")","Who did you study with? (1 indicates ""Not at all"" and 5 indicates ""Very heavily."") [Tutor / friend not in this class]",What was the hardest concept to grasp?,"How many days before the exam did you start studying? (Answer using numerals, e.g. ""5"" and not ""five"")",Why was it hard? (Please note this question is optional)
59.5,2,5,3,2,1,1,1,2,4,3,1,5,1,5,2,1,Logistic Regression,5,simply don't remember
81,1,1,1,1,1,1,1,1,1,1,1,1,1,5,0,1,Logistic Regression,0,
72.5,5,2,1,2,1,3,2,3,4,2,4,1,3,4,6,1,Logistic Regression,1,Wasn't explained clearly
74.5,4,4,4,4,1,1,1,3,3,4,1,3,1,4,5,1,Logistic Regression,1,Wasn't explained clearly
67.5,3,5,1,1,1,1,3,4,3,1,2,4,1,5,5,1,Logistic Regression,4,"Math was hard, don't have much math background"
76.5,5,2,2,1,1,1,3,5,5,1,1,5,1,5,5,1,Logistic Regression,1,Have unanswered questions still lingering
78.5,4,5,1,1,1,1,5,5,5,1,1,5,2,4,5,1,Logistic Regression,1,Wasn't explained clearly
85,5,2,2,3,1,1,3,2,2,2,4,5,2,5,3,2,Exploratory Data Analysis,2,Subjective
92,5,5,2,2,1,1,1,5,4,1,1,4,1,5,4,1,Exploratory Data Analysis,3,
90,3,3,4,5,2,1,1,4,4,3,1,5,3,5,8,1,Learning Principles,5,
86,5,5,5,5,3,1,1,2,2,2,1,3,1,5,6,1,Logistic Regression,2,Wasn't explained clearly
78,5,3,1,1,1,2,1,1,1,2,1,5,1,4,3,1,Logistic Regression,1,"I didn't find it difficult, but I'd say it was the least easy concept to grasp"
75,4,4,3,4,1,1,1,4,4,1,1,3,1,5,7,1,Logistic Regression,1,Wasn't explained clearly
83.5,3,2,1,1,1,1,2,1,1,2,1,2,1,3,1,1,Logistic Regression,3,
80.5,5,3,3,3,1,1,1,4,2,2,1,3,1,5,7,1,Logistic Regression,2,Have unanswered questions still lingering
87.5,4,3,2,4,1,1,4,5,4,1,1,3,1,5,4,1,Logistic Regression,2,Wasn't explained clearly
91,3,5,2,1,1,1,1,1,1,1,1,3,1,5,1,1,Data Science Workflow,0,Wasn't explained clearly
59.5,4,2,1,1,1,3,1,2,1,5,2,1,4,2,2,1,Logistic Regression,1,Have unanswered questions still lingering
